"Q61_When schools re-open, do you think your school will have measures in place to ensure a safe learning environment?",Q62_Why or why not?,Q63_What are your concerns about returning to school?
Yes,"As one of the PTA, it will be our priority",A ready to send my child to school as soon as the schools are open
Yes,"We as the PTA meeting will make sure, the environment is safe for learning to take place",Let the schools re-opened
Somewhat,I don't know,I want our government to open schools
Yes,It is our culture,Ready to go back to school
Yes,Good administration,Ready to go to school
No,I don't know,Let the government open schools
Somewhat,I don't  know,I need my school  to be re-opened
No,No water source at school,I want my school to open 
No,It's bushy and no water at school,Open schools 
No,It's bushy,I want to go back to school
No,No WASH facilities,I need to go back to school
No,I don't know,I want to go back to school
No,No good sanitation facilities at school,I want to be in class
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,Let them open
No,Not sure,Let the children go to school
No,I don't know,Let children go to school
No,"I saw that it's bushy, no water source and soap at that school",Just open the school
Yes,Because it is our habit to stay in a safe environment,Schools should be opened
No,"I don't know
",It good to open the school and churches
No,No wash facility I know of ,Let it open 
Yes,Teachers  will put measures for the safety of the environment,I need my school to reopen so that I go back to  learn
Yes,Because the teachers will take serious measures to control the spread of the virus,My concern is the schools are to be reopened
Yes,In order to protect the learners and teachers from contacting the virus,All schools needs to be reopened
Yes,Because the school is ready to take covid 19 measures in place,My concern is that school celander is already gone so I aspect school to open in the new year 2021.
No,No water in school,Safe for school to open
No,Because of disrase,We need school to open
Yes,With support from partners it will be ready,I need the school to open so that I continue my studies
No,Because school is usually populated,We need schools to open with reduction in the number of pupils per class.
No,No materials,Covid.19 measure to be keep in place in school.
Yes,Because partners will support the school with materials,Good for school to open
Yes,Because of c.19,I need school to open but preventive measure for c.19 to be put in place
No,We don't have facilities,I waiting for school to be
No,School need a lot of teaching materials and water points,Happy
No,Wash facilities and teaching materials will not be enough,Happy
No,No teaching and learning materials,Happy
No,Some f wASH facilities and teaching Will not be in place,I will feel happy
Somewhat,The environment will not be conducive,The program should carry on
No,School environment will not be conducive for teaching and learning activities,Is good for the schools to reopened
Yes,Because they have to take precautionary measures against COVID _19.,Schools should open. 
Yes,Because avoid getting Corona  virus ,Let schools be open 
Yes,Because schools have to ensure safety of its learners,"Schools can remain closed as long as COVID_ 19 is still affecting people until 2021, then schools can open."
Yes,To protect us from Corona virus.,Schools should open so that we can learn
Somewhat,I am not aware of the plans of school for COVID19.,I am expecting schools to open. 
Yes,Because the school has to protect its students from COVID_19,It would be good to be back in school 
Yes,Because they have to ensure safety of the learners ,I am not thinking anything else apart from going back to school 
No,Because I don't know ,We await the government to take action and open schools when they feel it's appropriate 
No,Because I don't know about the school program ,Schools  should open 
No,Because I don't know ,Schools should be allowed to operate 
Yes,Schools should protect their learners from getting the disease ,Schools have to open so that children can go to school and learn. 
No,I don't  know. ,I am worried as to when schools are going to open. 
Yes,Because schools have to provide for the safety of their students. ,"According to me schools should open because I haven't seen anyone suffering from CORONA VIRUS. So i feel CORONA is not real, let schools open. "
No,Because I don't know. ,If CORONA goes away let the government open schools 
No,There is need for assistance like soaps etc,Urging all the classes to attend because it is bring children to get spoil 
No,Fewer classroom s which can't allow social distance,Teaching should continue for the children
Yes,Provision of mask to each learners and adding more classrooms for social distance,Schools should be open for candidate classes and institutions 
Yes,Because the school will provide necessary safety measures to control COVID-19,Teaching of the learners
No,Because it is a remote school which has no money to purchase such items in school,Am missing a lot of studies and engaged in useless activities at home
No,"The school has no capacity of purchasing all requirements in place such as hand washing facilities, sanitizers ",Teachers are now idle.
Yes,The washing facilities will be available,I recommend the school to be reopen
Yes,So that it become clean,I want to learn
Yes,Washing hands with soap,I recommend to return to school
Yes,No greeting and being clean,Happy about returning to school
